"time","_ENERGIA_VENCIDA","Eb","Er","CUSUM"
2023-01-09,NA,NA,NA,NA
2023-01-10,11396.7804,10304.858811,11396.7804,74969.6167222783
2023-01-11,11261.1546697626,10306.871481,11261.1546697626,75923.8999110409
2023-01-12,11225.5028932011,10299.81288,11225.5028932011,76849.5899242421
2023-01-13,11268.0277674579,10304.139774,11268.0277674579,77813.4779176999
2023-01-14,11257.1027830606,10306.313121,11257.1027830606,78764.2675797605
2023-01-15,11396.7804,10306.276293,11396.7804,79854.7716867605
2023-01-16,NA,NA,NA,NA
