time,AMP_MOTOR
"Fri, 30 Dec 2022 02:42:00 GMT",117.90000000000002
"Fri, 30 Dec 2022 02:45:00 GMT",117.90000000000002
"Fri, 30 Dec 2022 02:48:00 GMT",117.90000000000002
"Fri, 30 Dec 2022 02:51:00 GMT",117.93333333333332
"Fri, 30 Dec 2022 02:54:00 GMT",117.90000000000002
"Fri, 30 Dec 2022 02:57:00 GMT",117.90000000000002
"Fri, 30 Dec 2022 03:00:00 GMT",117.90000000000002
"Fri, 30 Dec 2022 03:03:00 GMT",117.93333333333332
"Fri, 30 Dec 2022 03:06:00 GMT",117.90000000000002
"Fri, 30 Dec 2022 03:09:00 GMT",117.93333333333332
"Fri, 30 Dec 2022 03:12:00 GMT",117.93333333333332
"Fri, 30 Dec 2022 03:15:00 GMT",117.90000000000002
"Fri, 30 Dec 2022 03:18:00 GMT",117.86666666666667
"Fri, 30 Dec 2022 03:21:00 GMT",117.86666666666667
"Fri, 30 Dec 2022 03:24:00 GMT",117.90000000000002
"Fri, 30 Dec 2022 03:27:00 GMT",117.90000000000002
"Fri, 30 Dec 2022 03:30:00 GMT",117.93333333333332
"Fri, 30 Dec 2022 03:33:00 GMT",117.93333333333332
"Fri, 30 Dec 2022 03:36:00 GMT",117.93333333333332
"Fri, 30 Dec 2022 03:39:00 GMT",117.93333333333334
"Fri, 30 Dec 2022 03:42:00 GMT",117.93333333333332
"Fri, 30 Dec 2022 03:45:00 GMT",117.90000000000002
"Fri, 30 Dec 2022 03:48:00 GMT",117.93333333333332
"Fri, 30 Dec 2022 03:51:00 GMT",117.93333333333332
"Fri, 30 Dec 2022 03:54:00 GMT",117.93333333333334
"Fri, 30 Dec 2022 03:57:00 GMT",117.93333333333334
"Fri, 30 Dec 2022 04:00:00 GMT",117.90000000000002
"Fri, 30 Dec 2022 04:03:00 GMT",117.90000000000002
"Fri, 30 Dec 2022 04:06:00 GMT",117.90000000000002
"Fri, 30 Dec 2022 04:09:00 GMT",117.90000000000002
"Fri, 30 Dec 2022 04:12:00 GMT",117.86666666666667
"Fri, 30 Dec 2022 04:15:00 GMT",117.83333333333333
"Fri, 30 Dec 2022 04:18:00 GMT",117.86666666666667
"Fri, 30 Dec 2022 04:21:00 GMT",117.90000000000002
"Fri, 30 Dec 2022 04:24:00 GMT",117.93333333333334
"Fri, 30 Dec 2022 04:27:00 GMT",117.83333333333333
"Fri, 30 Dec 2022 04:30:00 GMT",117.90000000000002
"Fri, 30 Dec 2022 04:33:00 GMT",117.86666666666667
